ssid,quality,signal,distanceFromAP,s-01,s-02,s-03,s-04,s-05,s-06,s-07,s-08,s-09,s-10,s-11
AP-00,70,-38,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-36,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-40,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,66,-44,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,56,-54,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-40,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,60,-50,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,54,-56,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-36,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-28,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-28,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-38,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,68,-42,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,56,-54,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-40,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,60,-50,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,54,-56,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-38,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-28,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-38,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,68,-42,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,62,-48,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,58,-52,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,44,-66,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-40,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,68,-42,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,68,-42,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,58,-52,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,58,-52,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,44,-66,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-34,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-30,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,58,-52,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,58,-52,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,44,-66,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-34,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-28,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-28,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,58,-52,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-40,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,58,-52,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,48,-62,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-34,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-28,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-32,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,56,-54,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,58,-52,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,46,-64,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-38,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-38,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-38,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,58,-52,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,56,-54,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,50,-60,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-40,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-30,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,54,-56,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,58,-52,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,56,-54,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,50,-60,20.224,1,0,0,0,0,0,0,0,0,0,0
AP-00,70,-38,2.828,1,0,0,0,0,0,0,0,0,0,0
AP-01,70,-32,2,1,0,0,0,0,0,0,0,0,0,0
AP-02,70,-32,8.062,1,0,0,0,0,0,0,0,0,0,0
AP-03,70,-36,6.708,1,0,0,0,0,0,0,0,0,0,0
AP-04,70,-40,12.042,1,0,0,0,0,0,0,0,0,0,0
AP-05,56,-54,15.297,1,0,0,0,0,0,0,0,0,0,0
AP-06,70,-38,15.033,1,0,0,0,0,0,0,0,0,0,0
AP-07,56,-54,20.1,1,0,0,0,0,0,0,0,0,0,0
AP-08,50,-60,20.224,1,0,0,0,0,0,0,0,0,0,0
